OGID	esc,pips1,mef48,mef
OG51_0	1110021L09Rik,1110021L09Rik_pips1,1110021L09Rik_mef48,1110021L09Rik_mef
OG52_0	1110028C15Rik,1110028C15Rik_pips1,1110028C15Rik_mef48,1110028C15Rik_mef
OG53_0	1110031I02Rik,1110031I02Rik_pips1,1110031I02Rik_mef48,1110031I02Rik_mef
OG54_0	1110032A03Rik,1110032A03Rik_pips1,1110032A03Rik_mef48,1110032A03Rik_mef
OG55_0	1110032A04Rik,1110032A04Rik_pips1,1110032A04Rik_mef48,1110032A04Rik_mef
OG56_0	1110032F04Rik,1110032F04Rik_pips1,1110032F04Rik_mef48,1110032F04Rik_mef
OG57_0	1110034A24Rik,1110034A24Rik_pips1,1110034A24Rik_mef48,1110034A24Rik_mef
OG58_0	1110034B05Rik,1110034B05Rik_pips1,1110034B05Rik_mef48,1110034B05Rik_mef
OG59_0	1110034G24Rik,1110034G24Rik_pips1,1110034G24Rik_mef48,1110034G24Rik_mef
OG60_0	1110035H17Rik,1110035H17Rik_pips1,1110035H17Rik_mef48,1110035H17Rik_mef
OG61_0	1110037F02Rik,1110037F02Rik_pips1,1110037F02Rik_mef48,1110037F02Rik_mef
OG62_0	1110038B12Rik,1110038B12Rik_pips1,1110038B12Rik_mef48,1110038B12Rik_mef
OG63_0	1110038D17Rik,1110038D17Rik_pips1,1110038D17Rik_mef48,1110038D17Rik_mef
OG64_0	1110038F14Rik,1110038F14Rik_pips1,1110038F14Rik_mef48,1110038F14Rik_mef
OG65_0	1110049F12Rik,1110049F12Rik_pips1,1110049F12Rik_mef48,1110049F12Rik_mef
OG66_0	1110051M20Rik,1110051M20Rik_pips1,1110051M20Rik_mef48,1110051M20Rik_mef
OG67_0	1110054M08Rik,1110054M08Rik_pips1,1110054M08Rik_mef48,1110054M08Rik_mef
OG68_0	1110054O05Rik,1110054O05Rik_pips1,1110054O05Rik_mef48,1110054O05Rik_mef
OG69_0	1110057K04Rik,1110057K04Rik_pips1,1110057K04Rik_mef48,1110057K04Rik_mef
OG70_0	1110058L19Rik,1110058L19Rik_pips1,1110058L19Rik_mef48,1110058L19Rik_mef
OG71_0	1110059E24Rik,1110059E24Rik_pips1,1110059E24Rik_mef48,1110059E24Rik_mef
OG72_0	1110059G10Rik,1110059G10Rik_pips1,1110059G10Rik_mef48,1110059G10Rik_mef
OG73_0	1110065P20Rik,1110065P20Rik_pips1,1110065P20Rik_mef48,1110065P20Rik_mef
OG74_0	1110067D22Rik,1110067D22Rik_pips1,1110067D22Rik_mef48,1110067D22Rik_mef
OG75_0	1190002H23Rik,1190002H23Rik_pips1,1190002H23Rik_mef48,1190002H23Rik_mef
OG76_0	1190002N15Rik,1190002N15Rik_pips1,1190002N15Rik_mef48,1190002N15Rik_mef
OG77_0	1190003J15Rik,1190003J15Rik_pips1,1190003J15Rik_mef48,1190003J15Rik_mef
OG78_0	1190005F20Rik,1190005F20Rik_pips1,1190005F20Rik_mef48,1190005F20Rik_mef
OG79_0	1190005I06Rik,1190005I06Rik_pips1,1190005I06Rik_mef48,1190005I06Rik_mef
OG80_0	1190007F08Rik,1190007F08Rik_pips1,1190007F08Rik_mef48,1190007F08Rik_mef
OG81_0	1190007I07Rik,1190007I07Rik_pips1,1190007I07Rik_mef48,1190007I07Rik_mef
OG82_0	1200009I06Rik,1200009I06Rik_pips1,1200009I06Rik_mef48,1200009I06Rik_mef
OG83_0	1200011I18Rik,1200011I18Rik_pips1,1200011I18Rik_mef48,1200011I18Rik_mef
OG84_0	1200011M11Rik,1200011M11Rik_pips1,1200011M11Rik_mef48,1200011M11Rik_mef
OG85_0	1200014J11Rik,1200014J11Rik_pips1,1200014J11Rik_mef48,1200014J11Rik_mef
OG86_0	1200016B10Rik,1200016B10Rik_pips1,1200016B10Rik_mef48,1200016B10Rik_mef
OG87_0	1300001I01Rik,1300001I01Rik_pips1,1300001I01Rik_mef48,1300001I01Rik_mef
OG88_0	1300002E11Rik,1300002E11Rik_pips1,1300002E11Rik_mef48,1300002E11Rik_mef
OG89_0	1300010F03Rik,1300010F03Rik_pips1,1300010F03Rik_mef48,1300010F03Rik_mef
OG90_0	1300014I06Rik,1300014I06Rik_pips1,1300014I06Rik_mef48,1300014I06Rik_mef
OG91_0	1300018I17Rik,1300018I17Rik_pips1,1300018I17Rik_mef48,1300018I17Rik_mef
OG92_0	1300018J18Rik,1300018J18Rik_pips1,1300018J18Rik_mef48,1300018J18Rik_mef
OG93_0	1500001M20Rik,1500001M20Rik_pips1,1500001M20Rik_mef48,1500001M20Rik_mef
OG94_0	1500002C15Rik,1500002C15Rik_pips1,1500002C15Rik_mef48,1500002C15Rik_mef
OG95_0	1500002O10Rik,1500002O10Rik_pips1,1500002O10Rik_mef48,1500002O10Rik_mef
